country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","03-06-2026 20:00:00",25.560083,87.553265,SO2,21,31,24
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","03-06-2026 20:00:00",26.0881305,87.93840336,PM2.5,95,247,150
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","03-06-2026 20:00:00",26.63086,84.90051,NO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","03-06-2026 20:00:00",25.376776,86.471523,NO2,6,7,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","03-06-2026 20:00:00",26.11442,85.39813,PM2.5,76,211,117
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","03-06-2026 20:00:00",26.11442,85.39813,CO,12,64,30
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","03-06-2026 20:00:00",26.1403345,85.3650192,NO2,2,10,6
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","03-06-2026 20:00:00",26.1403345,85.3650192,SO2,3,15,10
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","03-06-2026 20:00:00",25.586562,85.043586,PM10,81,294,129
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","03-06-2026 20:00:00",25.586562,85.043586,NO2,29,35,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","03-06-2026 20:00:00",25.586562,85.043586,SO2,6,8,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","03-06-2026 20:00:00",25.592539,85.227158,PM10,95,111,103
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","03-06-2026 20:00:00",25.592539,85.227158,NH3,4,7,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","03-06-2026 20:00:00",25.592539,85.227158,OZONE,20,89,77
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","03-06-2026 20:00:00",25.251013,86.989001,NO2,10,13,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","03-06-2026 20:00:00",25.265194,87.012947,PM2.5,23,217,71
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","03-06-2026 20:00:00",25.265194,87.012947,SO2,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","03-06-2026 20:00:00",25.204762,85.514960,CO,10,84,66
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","03-06-2026 20:00:00",25.204762,85.514960,OZONE,1,3,2
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","03-06-2026 20:00:00",25.567520,83.966379,SO2,29,36,31
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","03-06-2026 20:00:00",25.567520,83.966379,OZONE,6,171,116
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","03-06-2026 20:00:00",24.792403,84.992416,NH3,1,3,1
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","03-06-2026 20:00:00",24.792403,84.992416,CO,25,31,28
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 20:00:00",24.762518,84.982348,PM10,48,63,54
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 20:00:00",24.762518,84.982348,NH3,3,4,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 20:00:00",24.762518,84.982348,SO2,7,8,7
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","03-06-2026 20:00:00",24.762518,84.982348,OZONE,18,60,47
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","03-06-2026 20:00:00",25.697189,85.245900,SO2,4,6,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","03-06-2026 20:00:00",24.952822,84.002396,CO,20,82,48
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","03-06-2026 20:00:00",26.2271665,84.3570427,PM2.5,8,120,46
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","03-06-2026 20:00:00",26.2271665,84.3570427,SO2,6,10,8
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","03-06-2026 20:00:00",26.2271665,84.3570427,CO,33,110,104
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","03-06-2026 20:00:00",30.735567,76.775714,OZONE,24,96,85
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","03-06-2026 20:00:00",30.719859,76.738637,PM2.5,20,52,35
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","03-06-2026 20:00:00",30.719859,76.738637,CO,26,108,44
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","03-06-2026 20:00:00",21.194815,81.314770,NO2,4,56,25
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","03-06-2026 20:00:00",21.185571,81.343175,CO,20,31,24
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","03-06-2026 20:00:00",21.224231,81.408350,SO2,11,18,14
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","03-06-2026 20:00:00",21.224231,81.408350,CO,1,57,7
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","03-06-2026 20:00:00",21.224231,81.408350,OZONE,8,24,22
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","03-06-2026 20:00:00",16.486692,80.699436,SO2,11,20,16
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","03-06-2026 20:00:00",16.509717,80.612222,PM2.5,54,76,64
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","03-06-2026 20:00:00",16.554731,80.649110,SO2,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","03-06-2026 20:00:00",17.72,83.3,NO2,15,104,48
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","03-06-2026 20:00:00",17.72,83.3,SO2,1,29,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","03-06-2026 20:00:00",17.72,83.3,OZONE,9,47,31
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","03-06-2026 20:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","03-06-2026 20:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Guwahati,"IITG, Guwahati - PCBA","03-06-2026 20:00:00",26.2028636,91.70046436,PM10,27,73,50
India,Assam,Guwahati,"IITG, Guwahati - PCBA","03-06-2026 20:00:00",26.2028636,91.70046436,NO2,1,1,1
India,Assam,Guwahati,"IITG, Guwahati - PCBA","03-06-2026 20:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","03-06-2026 20:00:00",22.368195,82.746431,NO2,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","03-06-2026 20:00:00",22.348441,82.549611,NH3,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","03-06-2026 20:00:00",22.126650,83.483212,PM2.5,14,69,33
